trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-140.04960145531106,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-147.37949631366683,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-211.85016661244384,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-208.44772604580004,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-190.65579689868258,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-5.072009468743093,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-194.40560481263128,"{0: 18, 1: 1, 2: 5, 3: 4, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-42.266137576827546,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-12.676582566928303,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-46.10976299027354,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-97.09608117979408,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-194.24729568198978,"{0: 18, 1: 0, 2: 6, 3: 4, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-55.65013070349069,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-95.67061923542697,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-6.103365492262111,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,18,20.173328595392004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,-47.47834028594699,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-56.02320171545695,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,-2.482097617685131,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,-3.1769854670603572,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,7,29.918395949913005,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-30.551851478801133,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-135.61092171767135,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,12,-13.211401940368724,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,10,-0.26643632289630337,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,3,33.28212171270141,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,2,-19.215957862512322,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,15,-26.221338613841525,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,9.707320100823946,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,16,7.5223957041999245,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
