trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.991}",20,0,-27.515780437254286,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.982081}",25,0,-140.60094533306741,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9732422709999999}",20,0,-99.28946658245796,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9644830905609999}",25,0,-74.43543580257716,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9558027427459509}",20,0,-97.5416826909972,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9472005180612373}",25,3,-84.61917476282893,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9386757133986862}",20,5,-2.8421277058599967,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.930227631978098}",20,0,-158.59802282894512,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9218555832902952}",25,0,-122.13113709531969,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9135588830406824}",20,0,-76.85901953028585,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9053368530933164}",20,0,-68.94935650911974,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8971888214154765}",20,0,-137.64007395966357,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8891141220227372}",20,0,-143.48433377250825,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8811120949245326}",20,0,-34.45029017897273,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8731820860702117}",20,5,-50.05724965877417,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8653234472955799}",25,0,-64.99101911962762,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8575355362699196}",20,0,-33.46503915038984,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8498177164434904}",25,0,-98.6363425217482,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8421693569954989}",25,0,-15.866333054491198,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8345898327825394}",20,0,-72.59403288304104,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8270785242874965}",20,0,-115.97253990420758,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.819634817568909}",20,0,-88.4676769059312,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8122581042107888}",20,0,-56.24028502673797,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8049477812728917}",25,0,-23.920119722550186,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7977032512414356}",20,0,-73.30097001234944,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7905239219802627}",20,0,-50.79701260577001,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7834092066824403}",25,14,-24.85955962970873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7763585238222983}",30,0,-156.86347628534097,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7693712971078976}",20,0,-81.3342707241468,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7624469554339266}",25,9,-47.323677667739254,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7555849328350213}",25,12,-9.57059281683479,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7487846684395061}",35,0,-131.5552848670156,"{0: 24, 1: 1, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7420456064235506}",25,0,-86.02089741555544,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7353671959657386}",20,0,-120.2981424318297,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.728748891202047}",25,12,-76.6206107948866,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.7221901511812285}",25,0,-59.14729635502353,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
