trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.82858538665556,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-55.1990192549506,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.32561829132686,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.86465080658093,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-374.6981633670219,"{0: 10, 1: 4, 2: 7, 3: 3, 4: 6}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,20,-19.631615490453868,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.806938564481,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.4303442768098,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-146.11457841863424,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.34356502716821,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.15774691350165,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.39463601544276,"{0: 6, 1: 4, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,11,-69.3960592591403,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.44933818924773,"{0: 8, 1: 6, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.36139385160371,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,14.029384822719967,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.470796431959487,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.187680226877376,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.58431561460453,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.362079931638,"{0: 19, 1: 5, 2: 1, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,4,-176.47979114041078,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 3}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.23480723240622,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.33155846371459,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.0470135910929,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.3851584894274,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-89.23629209785597,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-135.27760671997848,"{0: 15, 1: 4, 2: 9, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,9,-19.02771612886333,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,9,-85.15003163648164,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.26631245201347,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
